from,to,overlap_with_lecture_perceptions
19,5,1
19,13,0
19,17,1
10,1,1
10,4,0
10,6,1
10,9,1
10,12,1
10,14,1
13,16,1
13,18,1
16,1,1
16,13,0
16,14,0
16,15,1
14,1,1
14,9,0
7,5,0
7,18,0
7,19,1
20,15,1
20,21,0
15,16,0
15,19,0
15,20,1
11,17,1
21,9,0
21,14,1
21,17,1
21,20,1
9,6,0
9,10,1
9,19,1
9,20,0
1,14,0
6,9,1
6,10,1
5,7,1
5,11,0
5,17,1
5,19,1
8,1,1
8,9,1
8,11,0
8,12,0
8,16,0
8,17,1
8,21,0
17,5,1
17,8,0
17,11,0
3,1,1
3,2,1
3,14,1
3,20,1
18,5,0
18,7,0
2,1,1
2,3,1
2,20,0
