from,to,overlap_with_lecture_interactions
19,5,1
19,9,0
19,17,1
10,1,1
10,5,0
10,6,1
10,9,1
10,12,1
10,13,0
10,14,1
10,16,0
10,17,0
10,21,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
13,14,0
13,15,0
13,16,1
13,17,0
13,18,1
13,19,0
13,20,0
13,21,0
16,1,1
16,15,1
14,1,1
7,19,1
20,1,0
20,5,0
20,9,0
20,15,1
20,17,0
20,19,0
15,4,0
15,20,1
11,9,0
11,12,0
11,16,0
11,17,1
21,14,1
21,15,0
21,17,1
21,19,0
21,20,1
9,8,0
9,10,1
9,15,0
9,19,1
1,4,0
6,1,0
6,9,1
6,10,1
6,14,0
6,17,0
6,19,0
5,7,1
5,17,1
5,19,1
8,1,1
8,9,1
8,17,1
8,19,0
17,5,1
17,19,0
3,1,1
3,2,1
3,14,1
3,20,1
18,17,0
2,1,1
2,3,1
2,9,0
