from,to,overlap_with_lecture_interactions
16,15,0
16,17,0
17,5,0
17,15,0
17,19,0
21,1,0
21,14,0
21,17,0
21,19,0
21,20,1
19,15,0
19,17,0
15,17,1
15,19,1
11,5,1
11,16,1
11,19,0
10,1,1
10,5,0
10,6,1
10,8,1
10,9,1
10,12,1
10,13,0
10,14,1
10,16,0
10,17,0
10,19,1
10,20,1
10,21,1
20,15,0
20,17,0
20,19,0
8,13,1
8,16,1
8,17,1
8,19,0
8,20,1
1,17,0
5,15,0
5,17,0
2,1,1
2,3,0
2,14,0
2,15,1
3,1,1
3,2,0
3,15,0
13,1,0
13,2,0
13,3,0
13,5,0
13,6,0
13,8,1
13,9,0
13,10,0
13,11,1
13,12,0
13,13,0
13,14,0
13,15,0
13,16,1
13,17,0
13,19,0
13,20,0
13,21,0
9,1,0
9,15,0
6,1,1
6,6,0
6,10,1
6,12,0
6,14,0
6,15,0
6,16,0
6,17,0
6,19,0
6,20,0
12,10,1
12,17,0
